match_id,city,match_date,date,year,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,victory_result,result_margin,eliminator,method_applied,umpire1,umpire2,match_id,inning_num,over_num,ball,batsman,non_striker,bowler,batsman_runs,extra_runs,total_runs,is_wicket,dismissal_kind,player_dismissed,fielder,extras_type,batting_team,bowling_team
1216510,Dubai,24-09-2020,24-09-2020,2020,KL Rahul,Dubai International Cricket Stadium,0,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kings XI Punjab,runs,97,N,NA,AK Chaudhary,PR Reiffel,1216510,1,0,1,KL Rahul,MA Agarwal,UT Yadav,0,0,0,0,NA,NA,NA,NA,Kings XI Punjab,Royal Challengers Bangalore
1216524,Dubai,27-10-2020,27-10-2020,2020,WP Saha,Dubai International Cricket Stadium,0,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad,runs,88,N,NA,AK Chaudhary,Nitin Menon,1216524,1,0,1,DA Warner,WP Saha,A Nortje,0,0,0,0,NA,NA,NA,NA,Sunrisers Hyderabad,Delhi Capitals
1216540,Sharjah,12/10/2020,10/12/2020,2020,AB de Villiers,Sharjah Cricket Stadium,0,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,82,N,NA,RK Illingworth,K Srinivasan,1216540,1,0,1,AJ Finch,D Padikkal,PJ Cummins,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Kolkata Knight Riders
1216542,Dubai,8/10/2020,10/8/2020,2020,JM Bairstow,Dubai International Cricket Stadium,0,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,69,N,NA,AK Chaudhary,Nitin Menon,1216542,1,0,1,DA Warner,JM Bairstow,SS Cottrell,0,0,0,0,NA,NA,NA,NA,Sunrisers Hyderabad,Kings XI Punjab
1216530,Dubai,1/11/2020,11/1/2020,2020,PJ Cummins,Dubai International Cricket Stadium,0,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,runs,60,N,NA,Nitin Menon,PR Reiffel,1216530,1,0,1,Shubman Gill,N Rana,JC Archer,1,0,1,0,NA,NA,NA,NA,Kolkata Knight Riders,Rajasthan Royals
1216519,Dubai,5/10/2020,10/5/2020,2020,AR Patel,Dubai International Cricket Stadium,0,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Capitals,runs,59,N,NA,Nitin Menon,YC Barde,1216519,1,0,1,PP Shaw,S Dhawan,I Udana,0,1,1,0,NA,NA,NA,legbyes,Delhi Capitals,Royal Challengers Bangalore
1216497,Abu Dhabi,24-10-2020,24-10-2020,2020,CV Varun,Sheikh Zayed Stadium,0,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Kolkata Knight Riders,runs,59,N,NA,CB Gaffaney,PG Pathak,1216497,1,0,1,Shubman Gill,N Rana,TU Deshpande,0,0,0,0,NA,NA,NA,NA,Kolkata Knight Riders,Delhi Capitals
1237177,Dubai,5/11/2020,11/5/2020,2020,JJ Bumrah,Dubai International Cricket Stadium,0,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,runs,57,N,NA,CB Gaffaney,Nitin Menon,1237177,1,0,1,Q de Kock,RG Sharma,DR Sams,4,0,4,0,NA,NA,NA,NA,Mumbai Indians,Delhi Capitals
1216511,Abu Dhabi,6/10/2020,10/6/2020,2020,SA Yadav,Sheikh Zayed Stadium,0,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,runs,57,N,NA,VK Sharma,S Ravi,1216511,1,0,1,Q de Kock,RG Sharma,AS Rajpoot,4,0,4,0,NA,NA,NA,NA,Mumbai Indians,Rajasthan Royals
1216508,Abu Dhabi,23-09-2020,23-09-2020,2020,RG Sharma,Sheikh Zayed Stadium,0,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,runs,49,N,NA,CB Gaffaney,S Ravi,1216508,1,0,1,Q de Kock,RG Sharma,S Sandeep Warrier,1,0,1,0,NA,NA,NA,NA,Mumbai Indians,Kolkata Knight Riders
1216503,Abu Dhabi,1/10/2020,10/1/2020,2020,KA Pollard,Sheikh Zayed Stadium,0,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians,runs,48,N,NA,VK Sharma,S Ravi,1216503,1,0,1,Q de Kock,RG Sharma,SS Cottrell,0,0,0,0,NA,NA,NA,NA,Mumbai Indians,Kings XI Punjab
1216500,Sharjah,9/10/2020,10/9/2020,2020,R Ashwin,Sharjah Cricket Stadium,0,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals,runs,46,N,NA,KN Ananthapadmanabhan,C Shamshuddin,1216500,1,0,1,PP Shaw,S Dhawan,VR Aaron,0,0,0,0,NA,NA,NA,NA,Delhi Capitals,Rajasthan Royals
1216539,Dubai,25-09-2020,25-09-2020,2020,PP Shaw,Dubai International Cricket Stadium,0,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Delhi Capitals,runs,44,N,NA,KN Ananthapadmanabhan,RK Illingworth,1216539,1,0,1,PP Shaw,S Dhawan,DL Chahar,0,0,0,0,NA,NA,NA,NA,Delhi Capitals,Chennai Super Kings
1216525,Dubai,10/10/2020,10/10/2020,2020,V Kohli,Dubai International Cricket Stadium,0,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,37,N,NA,AK Chaudhary,PR Reiffel,1216525,1,0,1,D Padikkal,AJ Finch,DL Chahar,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Chennai Super Kings
1216504,Dubai,30-09-2020,30-09-2020,2020,Shivam Mavi,Dubai International Cricket Stadium,0,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,runs,37,N,NA,KN Ananthapadmanabhan,C Shamshuddin,1216504,1,0,1,Shubman Gill,SP Narine,JC Archer,0,0,0,0,NA,NA,NA,NA,Kolkata Knight Riders,Rajasthan Royals
